run_id,config,seed,n_robots,bid_mode,treat_threshold,rep,energy_capacity_j,status,returncode,wall_s,timeout_s,mission_time_s,sweeps_complete,total_energy_j,max_energy_j,min_energy_j,energy_spread_j,total_distance_m,treatments,weeds_treated_frac,intra_row_treated_frac,precision,redundant_treatments,duplicate_task_treatments,split_brain_awards,reannounce_events,abandon_events,git_sha,git_dirty,out_dir,command
base_s15_n4_distance_r2,base,15,4,distance,0.5,2,22000.0,ok,0,408.96,2400.0,2241,4,44792.0,14752.0,8209.0,6543.0,3290.6,117,0.6329113924050633,0.6538461538461539,0.42735042735042733,28,0,0,9,3,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s15_n4_distance_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=15 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s15_n4_distance_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s15_n4_confidence_energy_r1,base,15,4,confidence_energy,0.5,1,22000.0,ok,0,1239.68,2400.0,7113,4,59995.0,17002.0,12023.0,4979.0,4035.3,196,0.6329113924050633,0.6346153846153846,0.25510204081632654,26,0,0,0,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s15_n4_confidence_energy_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=15 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s15_n4_confidence_energy_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s15_n4_confidence_energy_r2,base,15,4,confidence_energy,0.5,2,22000.0,ok,0,318.57,2400.0,1707,4,41592.0,11806.0,8747.0,3059.0,3039.5,125,0.7468354430379747,0.7307692307692307,0.472,36,0,0,2,3,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s15_n4_confidence_energy_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=15 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s15_n4_confidence_energy_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s16_n4_distance_r1,base,16,4,distance,0.5,1,22000.0,ok,0,398.9,2400.0,2144,4,48407.0,14736.0,7298.0,7438.0,3588.3,121,0.759493670886076,0.7692307692307693,0.49586776859504134,31,0,0,0,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s16_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=16 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s16_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s16_n4_distance_r2,base,16,4,distance,0.5,2,22000.0,ok,0,502.2,2400.0,2788,4,55762.0,19123.0,6904.0,12219.0,4113.4,139,0.7341772151898734,0.6923076923076923,0.4172661870503597,31,0,0,5,1,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s16_n4_distance_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=16 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s16_n4_distance_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s16_n4_confidence_energy_r1,base,16,4,confidence_energy,0.5,1,22000.0,ok,0,418.77,2400.0,2237,4,51535.0,15789.0,8962.0,6827.0,3835.2,124,0.7848101265822784,0.8269230769230769,0.5,27,0,0,9,3,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s16_n4_confidence_energy_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=16 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s16_n4_confidence_energy_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s16_n4_confidence_energy_r2,base,16,4,confidence_energy,0.5,2,22000.0,ok,0,378.26,2400.0,2077,4,48019.0,14769.0,9740.0,5029.0,3543.0,128,0.7341772151898734,0.75,0.453125,32,0,0,0,2,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s16_n4_confidence_energy_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=16 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s16_n4_confidence_energy_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s17_n4_distance_r1,base,17,4,distance,0.5,1,22000.0,ok,0,399.17,2400.0,2112,4,52183.0,14651.0,11445.0,3206.0,3910.2,119,0.759493670886076,0.7636363636363637,0.5042016806722689,33,0,0,0,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s17_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=17 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s17_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s17_n4_distance_r2,base,17,4,distance,0.5,2,22000.0,ok,0,367.08,2400.0,1945,4,47494.0,13371.0,10296.0,3075.0,3525.7,121,0.6835443037974683,0.6909090909090909,0.4462809917355372,32,0,0,0,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s17_n4_distance_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=17 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s17_n4_distance_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s17_n4_confidence_energy_r1,base,17,4,confidence_energy,0.5,1,22000.0,ok,0,435.51,2400.0,2340,4,43601.0,15985.0,8267.0,7718.0,3164.9,125,0.6962025316455697,0.6909090909090909,0.44,33,0,0,0,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s17_n4_confidence_energy_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=17 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s17_n4_confidence_energy_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
