run_id,config,seed,n_robots,bid_mode,treat_threshold,rep,energy_capacity_j,status,returncode,wall_s,timeout_s,mission_time_s,sweeps_complete,total_energy_j,max_energy_j,min_energy_j,energy_spread_j,total_distance_m,treatments,weeds_treated_frac,intra_row_treated_frac,precision,redundant_treatments,duplicate_task_treatments,split_brain_awards,reannounce_events,abandon_events,git_sha,git_dirty,out_dir,command
base_s5_n4_distance_r2,base,5,4,distance,0.5,2,16000.0,ok,0,382.21,2400.0,2118,4,43249.0,14468.0,6433.0,8035.0,3165.3,119,0.7721518987341772,0.7678571428571429,0.5126050420168067,16,0,0,1,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s5_n4_distance_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=5 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s5_n4_distance_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s5_n4_confidence_energy_r1,base,5,4,confidence_energy,0.5,1,16000.0,ok,0,348.19,2400.0,1884,4,38773.0,13093.0,8074.0,5019.0,2842.8,105,0.6835443037974683,0.6607142857142857,0.5142857142857142,16,0,0,1,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s5_n4_confidence_energy_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=5 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s5_n4_confidence_energy_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s5_n4_confidence_energy_r2,base,5,4,confidence_energy,0.5,2,16000.0,wall_timeout,0,2405.53,2400.0,,4,60220.0,17226.0,10605.0,6621.0,3770.6,129,0.8354430379746836,0.875,0.5116279069767442,24,0,0,174,59,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s5_n4_confidence_energy_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=5 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s5_n4_confidence_energy_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s6_n4_distance_r1,base,6,4,distance,0.5,1,16000.0,ok,0,340.78,2400.0,1824,4,41008.0,12303.0,5193.0,7110.0,3028.1,107,0.6582278481012658,0.5714285714285714,0.48598130841121495,22,0,0,1,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s6_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=6 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s6_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s6_n4_distance_r2,base,6,4,distance,0.5,2,16000.0,ok,0,399.88,2400.0,2174,4,45937.0,14753.0,8509.0,6244.0,3388.1,118,0.6962025316455697,0.6607142857142857,0.4661016949152542,22,0,0,0,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s6_n4_distance_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=6 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s6_n4_distance_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s6_n4_confidence_energy_r1,base,6,4,confidence_energy,0.5,1,16000.0,ok,0,395.99,2400.0,2140,4,48386.0,14793.0,10595.0,4198.0,3606.8,113,0.7088607594936709,0.6785714285714286,0.49557522123893805,21,0,0,0,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s6_n4_confidence_energy_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=6 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s6_n4_confidence_energy_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s6_n4_confidence_energy_r2,base,6,4,confidence_energy,0.5,2,16000.0,ok,0,402.79,2400.0,2152,4,48926.0,15086.0,10656.0,4430.0,3601.1,133,0.7468354430379747,0.7142857142857143,0.44360902255639095,27,0,0,7,2,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s6_n4_confidence_energy_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=6 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s6_n4_confidence_energy_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s7_n4_distance_r1,base,7,4,distance,0.5,1,16000.0,ok,0,405.24,2400.0,2230,4,45394.0,14686.0,8496.0,6190.0,3354.1,112,0.620253164556962,0.6545454545454545,0.4375,27,0,0,0,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s7_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=7 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s7_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s7_n4_distance_r2,base,7,4,distance,0.5,2,16000.0,ok,0,424.95,2400.0,2332,4,52463.0,14660.0,11804.0,2856.0,3889.0,131,0.6835443037974683,0.7090909090909091,0.4122137404580153,34,0,0,0,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s7_n4_distance_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=7 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s7_n4_distance_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s7_n4_confidence_energy_r1,base,7,4,confidence_energy,0.5,1,16000.0,ok,0,404.14,2400.0,2206,4,47836.0,14249.0,9628.0,4621.0,3544.3,118,0.7088607594936709,0.6545454545454545,0.4745762711864407,22,0,0,0,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s7_n4_confidence_energy_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=7 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s7_n4_confidence_energy_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
